output_refact_audio/vachtuongcu.mp3_14336_20480.wav|thúy nga
output_refact_audio/vachtuongcu.mp3_20736_25600.wav|hạnh giới thiệu cùng bạn đọc truyện ngắn vách tường cũ
output_refact_audio/vachtuongcu.mp3_26112_27648.wav|của nhà văn nguyễn ngọc ngạn
output_refact_audio/vachtuongcu.mp3_27904_29184.wav|qua hai giọng
output_refact_audio/vachtuongcu.mp3_29952_36096.wav|mai phương và chính tác giả
output_refact_audio/vachtuongcu.mp3_51968_55552.wav|chiến thứ nhất hàng mang về được hơn ba nghìn đồng
output_refact_audio/vachtuongcu.mp3_56064_58880.wav|đấy là chưa kể cái máy hát đĩa hiệu sony
output_refact_audio/vachtuongcu.mp3_59136_60672.wav|hai chiếc bình thủy trung quốc
output_refact_audio/vachtuongcu.mp3_61184_63744.wav|và vài món quà đặc sản của miền nam
output_refact_audio/vachtuongcu.mp3_65024_66048.wav|đình mừng lắm
output_refact_audio/vachtuongcu.mp3_66560_70400.wav|không uổng công anh hơn mười ngày nằm nhà giữ con cho vợ
output_refact_audio/vachtuongcu.mp3_70656_73728.wav|lên đường theo tàu hỏa vào sài gòn buôn lậu
output_refact_audio/vachtuongcu.mp3_74496_76288.wav|đối với thời giá lúc mấy giờ
output_refact_audio/vachtuongcu.mp3_76800_78336.wav|giữa năm bảy mươi tám
output_refact_audio/vachtuongcu.mp3_78848_80896.wav|bán nhịp đồng kể cũng khá to
output_refact_audio/vachtuongcu.mp3_81152_83968.wav|nhất là với những gia đình ít vốn như định vào
output_refact_audio/vachtuongcu.mp3_84992_87040.wav|đỉnh mỗi ngày một lạng vàng
output_refact_audio/vachtuongcu.mp3_87808_91392.wav|còn lại vài trăm biếu xén công an và chính quyền địa phương
output_refact_audio/vachtuongcu.mp3_91648_93696.wav|mua trộm trước anh nghĩa vậy sao
output_refact_audio/vachtuongcu.mp3_95488_100608.wav|lần đầu tiên có nguyên một cây vàng trong tai đỉnh lay hoay mãi không biết giấu vào đâu
output_refact_audio/vachtuongcu.mp3_101120_102656.wav|anh nó lên mái nhà
output_refact_audio/vachtuongcu.mp3_102912_104192.wav|quan sát các uống chè
output_refact_audio/vachtuongcu.mp3_104448_105984.wav|duy mẻ kèo cột
output_refact_audio/vachtuongcu.mp3_106752_109824.wav|xem nơi nào có thể nhắc an toàn lượng vàng của anh
output_refact_audio/vachtuongcu.mp3_110848_113920.wav|những hình như chỗ nào định cũng thấy trừ chắc chắn lắm
output_refact_audio/vachtuongcu.mp3_114688_116224.wav|anh đem bỏ vào cái gối đầu
output_refact_audio/vachtuongcu.mp3_116992_118016.wav|khối của đỉnh
output_refact_audio/vachtuongcu.mp3_118272_121088.wav|vốn chỉ là cái hộp giống hình chữ nhật bọc mấy
output_refact_audio/vachtuongcu.mp3_121600_123904.wav|kích thước lớn hơn viên gạch thẻ một chút
output_refact_audio/vachtuongcu.mp3_124672_126464.wav|truyền từ đời ông nội để lại
output_refact_audio/vachtuongcu.mp3_126720_127488.wav|đứt mắt
output_refact_audio/vachtuongcu.mp3_127744_132096.wav|một vài sợi được đỉnh thay thế bằng những mẫu lan chê rất vụng về
output_refact_audio/vachtuongcu.mp3_133376_136192.wav|lạng vàng khối động giường thì chắc ăn quá rồi
output_refact_audio/vachtuongcu.mp3_136704_138752.wav|có việc gì thì chỉ việc may ra
output_refact_audio/vachtuongcu.mp3_139008_140800.wav|phật pháp nguyên cái gối mà chạy
output_refact_audio/vachtuongcu.mp3_141824_142848.wav|anh nghĩ như thế
output_refact_audio/vachtuongcu.mp3_143360_145664.wav|tại nó ngủ một đêm thật hạnh phúc
output_refact_audio/vachtuongcu.mp3_146944_149760.wav|những điểm vàng cũng chỉ nằm ở đó được có một bên
output_refact_audio/vachtuongcu.mp3_150528_151552.wav|sáng hôm sau
output_refact_audio/vachtuongcu.mp3_151808_153088.wav|lúc đắp chăn mỏng
output_refact_audio/vachtuongcu.mp3_153600_155392.wav|đỉnh năm trăm.không cái gối
output_refact_audio/vachtuongcu.mp3_155648_157184.wav|bất chợt nhận ra rằng
output_refact_audio/vachtuongcu.mp3_157440_158976.wav|để như thế hàng năm
output_refact_audio/vachtuongcu.mp3_160256_163840.wav|đánh răng cái gối mây vẫn nằm ở đó đã hơn chục năm
output_refact_audio/vachtuongcu.mp3_164352_165888.wav|chẳng ai thèm để ý
output_refact_audio/vachtuongcu.mp3_166656_172800.wav|những rủi trời xui đất khiến có đứa trẻ con hàng xóm nào tái máy khuấy đi mất thôi
output_refact_audio/vachtuongcu.mp3_173056_173568.wav|thế nào
output_refact_audio/vachtuongcu.mp3_174080_175360.wav|anh ngẫm nghĩ một lúc
output_refact_audio/vachtuongcu.mp3_175616_177152.wav|rồi mỗi cây vàng da
output_refact_audio/vachtuongcu.mp3_177664_180992.wav|đào một cái lỗ nhỏ sát chân giường chôn sống
output_refact_audio/vachtuongcu.mp3_181504_183552.wav|anh rất củ bảo hành
output_refact_audio/vachtuongcu.mp3_184320_185600.wav|nói xàm
output_refact_audio/vachtuongcu.mp3_185856_187648.wav|nhớ có trái nhà cũng chả sao
output_refact_audio/vachtuongcu.mp3_188928_193280.wav|thằng lắc đầu cười
output_refact_audio/vachtuongcu.mp3_193536_195840.wav|mình mới có trí tạo đắt có cả lên
output_refact_audio/vachtuongcu.mp3_196608_198144.wav|đừng cười theo
output_refact_audio/vachtuongcu.mp3_198912_199424.wav|truyện
output_refact_audio/vachtuongcu.mp3_199680_201984.wav|để cho có nhiều mất chỗ này còn chỗ khác
output_refact_audio/vachtuongcu.mp3_202240_204032.wav|mình chỉ có mỗi một tí
output_refact_audio/vachtuongcu.mp3_204288_205312.wav|trần mới phải cẩn
output_refact_audio/vachtuongcu.mp3_207104_210432.wav|tăng cảm động nhìn chồng lăng xăng với lượng vàng
output_refact_audio/vachtuongcu.mp3_210688_212736.wav|và nàng định tâm mỗi chuyến đi
output_refact_audio/vachtuongcu.mp3_213248_215552.wav|sự cố gắng mang về ít nhất một lạng
output_refact_audio/vachtuongcu.mp3_215808_218112.wav|để tạo niềm vui liên tục cho đỉnh
output_refact_audio/vachtuongcu.mp3_220160_221440.wav|lại còn cái máy hát
output_refact_audio/vachtuongcu.mp3_221696_223744.wav|muốn làm điện tốn thì giờ không ít
output_refact_audio/vachtuongcu.mp3_224768_226560.wav|anh nheo mắt nghiêng đầu
output_refact_audio/vachtuongcu.mp3_226816_228352.wav|nhắm tới nấm lùn mãi
output_refact_audio/vachtuongcu.mp3_228608_231936.wav|mà không biết nên đặt nó ở đâu cho tăng thêm vẻ sang trọng
output_refact_audio/vachtuongcu.mp3_232192_233472.wav|của căn nhà mười lăm
output_refact_audio/vachtuongcu.mp3_233728_235008.wav|cha mẹ anh để lại
output_refact_audio/vachtuongcu.mp3_236288_237056.wav|cuối cùng
output_refact_audio/vachtuongcu.mp3_237568_239104.wav|anh quyết định đi mua gỗ
output_refact_audio/vachtuongcu.mp3_239360_240896.wav|đóng hàng của cái kệ mới
output_refact_audio/vachtuongcu.mp3_241152_242432.wav|và khi sát bảo vệ
output_refact_audio/vachtuongcu.mp3_243200_248320.wav|ngay phía dưới bàn thờ tổ tiên có mấy tấm hình chụp trắng đen đảo giấu vàng
output_refact_audio/vachtuongcu.mp3_250112_251648.wav|máy máy cầm tay sáu cục pin
output_refact_audio/vachtuongcu.mp3_252160_256256.wav|mà đỉnh cũng chỉ nghe được có khoảng hai tuần thì pin bắt đầu cảm
output_refact_audio/vachtuongcu.mp3_256768_258047.wav|tiếng hát chèo
output_refact_audio/vachtuongcu.mp3_258303_260863.wav|chậm dần và lạc hẳn giọng đi
output_refact_audio/vachtuongcu.mp3_262143_263935.wav|hàng xóm kéo đến khá đông
output_refact_audio/vachtuongcu.mp3_264191_265727.wav|chỉ trỏ khen lời
output_refact_audio/vachtuongcu.mp3_265983_269055.wav|mặc dầu hằng chỉ có mỗi một cái đĩa nhựa màu vàng
output_refact_audio/vachtuongcu.mp3_269311_270079.wav|trong đó
output_refact_audio/vachtuongcu.mp3_270335_272639.wav|chủ yếu là bài căn nhà màu tím
output_refact_audio/vachtuongcu.mp3_272895_275711.wav|dầu giang tử và dán thùng biểu diễn
output_refact_audio/vachtuongcu.mp3_277503_279551.wav|giá công an đổi mượn mang về đồn
